Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
38	Colon wall and rectum														10.51	11.39	2.44	74.97	0.10	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.00	1.030
39	Spleen																		10.26	11.19	3.24	74.24	0.10	0.00	0.23	0.20	0.24	0.26	0.00	0.04	0.00	1.060
40	Thyroid																		10.38	11.80	2.50	74.50	0.19	0.00	0.10	0.11	0.21	0.11	0.00	0.01	0.09	1.050
41	Urindary bladder wall														10.50	9.62	2.61	76.07	0.20	0.00	0.20	0.20	0.30	0.30	0.00	0.00	0.00	1.040
42	Ovaries																		10.48	24.76	2.73	61.02	0.10	0.00	0.19	0.29	0.21	0.20	0.00	0.01	0.00	1.050
43	Adrenal glands																10.45	23.30	2.79	62.45	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
44	Oesophagus wall																10.44	22.74	2.82	63.00	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
45	Generic soft tissue (several organs)										10.48	24.57	2.74	61.21	0.10	0.00	0.19	0.29	0.21	0.20	0.00	0.01	0.00	1.030
46	Uterus & cervix																10.57	30.13	2.46	56.03	0.10	0.00	0.19	0.20	0.11	0.20	0.00	0.01	0.00	1.030
47	Lymphatic nodes																10.49	25.06	2.72	60.73	0.10	0.00	0.20	0.30	0.20	0.20	0.00	0.00	0.00	1.030
48	Breast glandular tissue														11.51	49.16	0.22	39.05	0.01	0.00	0.01	0.01	0.02	0.01	0.00	0.01	0.00	1.020
49	Adipose tissue																11.38	59.13	0.74	28.45	0.10	0.00	0.10	0.10	0.00	0.00	0.00	0.00	0.00	0.960
50	Lungs tissue																10.27	10.67	3.17	74.76	0.17	0.00	0.17	0.27	0.30	0.20	0.00	0.03	0.00	0.393
51	Stomach contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
52	Small intestine contents													10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
53	Right colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
54	Left colon contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.950
55	Sigmoid colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
56	Urine																		10.70	0.30	1.00	87.30	0.40	0.00	0.10	0.00	0.00	0.20	0.00	0.00	0.00	1.010
57	Air inside the body															0.00	0.00	80.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.001
