Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
14	Pelvis, spongiosa															8.87	32.38	3.36	47.35	0.10	0.15	2.48	0.22	0.05	0.04	4.96	0.06	0.00	1.190
15	Ribs, spongiosa																8.84	31.52	3.45	48.17	0.10	0.15	2.46	0.22	0.05	0.04	4.94	0.07	0.00	1.236
16	Scapulae, spongiosa															8.11	28.46	3.62	48.70	0.10	0.16	3.44	0.23	0.05	0.04	7.04	0.06	0.00	1.258
17	Cervical spine, spongiosa													8.09	28.37	3.62	48.72	0.10	0.16	3.47	0.23	0.05	0.04	7.10	0.06	0.00	1.234
18	Thoracic spine, spongiosa													7.87	27.99	3.61	48.36	0.10	0.15	3.78	0.23	0.05	0.04	7.76	0.05	0.00	1.175
19	Lumbar spine, spongiosa														8.11	29.09	3.55	48.05	0.10	0.15	3.47	0.23	0.05	0.04	7.11	0.05	0.00	1.233
20	Scarum, spongiosa															8.55	30.99	3.44	47.66	0.10	0.15	2.89	0.23	0.05	0.04	5.86	0.06	0.00	1.160
21	Sternum, spongiosa															8.12	28.50	3.61	48.70	0.10	0.16	3.43	0.23	0.05	0.04	7.02	0.06	0.00	1.163
22	Humeri and femora, upper half, medullary cavity								8.62	34.07	3.13	44.66	0.10	0.12	2.96	0.21	0.05	0.03	6.01	0.05	0.00	1.018
23	Humeri and femora, lower half, medullary cavity								7.97	34.15	2.95	42.15	0.10	0.11	4.00	0.21	0.04	0.03	8.29	0.02	0.00	1.017
24	Ulnae and radii, medullary cavity											10.73	43.31	2.62	42.64	0.10	0.11	0.16	0.17	0.05	0.03	0.00	0.07	0.00	1.008
25	Tibiae, fibulae, and patellae, medullary cavity								9.13	36.65	2.99	43.81	0.10	0.12	2.29	0.20	0.05	0.03	4.58	0.05	0.00	1.009
26	Cartilage																	9.63	9.96	2.26	74.41	0.48	0.00	2.09	0.86	0.30	0.01	0.00	0.01	0.00	1.100
27	Skin																		10.01	19.96	4.16	64.97	0.20	0.00	0.10	0.20	0.30	0.10	0.00	0.00	0.00	1.100
28	Blood vessels																10.20	11.00	3.30	74.50	0.10	0.00	0.10	0.20	0.30	0.20	0.00	0.10	0.00	1.060
29	Oral mucosa																	10.20	14.24	3.40	71.07	0.10	0.00	0.20	0.30	0.10	0.40	0.00	0.00	0.00	1.030
30	Liver																		10.27	16.37	2.95	69.28	0.17	0.00	0.17	0.27	0.23	0.27	0.00	0.03	0.00	1.050
31	Pancreas																	10.51	15.64	2.43	70.49	0.18	0.00	0.18	0.12	0.22	0.20	0.00	0.02	0.00	1.030
32	Brain																		10.67	14.30	2.26	71.39	0.19	0.00	0.38	0.20	0.30	0.29	0.00	0.01	0.00	1.040
33	Heart wall																	10.37	13.43	2.97	72.24	0.10	0.00	0.18	0.20	0.22	0.28	0.00	0.02	0.00	1.040
34	Eye lens and bulb															9.60	19.50	5.70	64.60	0.10	0.00	0.10	0.30	0.10	0.00	0.00	0.00	0.00	1.050
35	Kidney tissue																10.27	12.50	3.10	73.07	0.17	0.00	0.17	0.20	0.23	0.20	0.07	0.03	0.00	1.040
36	Stomach wall																10.50	11.37	2.48	74.95	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
37	Small intestine wall														10.49	11.36	2.51	74.93	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
38	Colon wall and rectum														10.49	11.36	2.51	74.93	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
39	Spleen																		10.25	11.16	3.25	74.29	0.10	0.00	0.21	0.20	0.25	0.25	0.00	0.05	0.00	1.060
40	Thyroid																		10.37	11.76	2.54	74.50	0.18	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.08	1.050
41	Urindary bladder wall														10.49	9.63	2.61	76.07	0.20	0.00	0.20	0.20	0.30	0.30	0.00	0.00	0.00	1.040
42	Ovaries																		10.48	24.51	2.74	61.26	0.10	0.00	0.19	0.29	0.21	0.20	0.00	0.01	0.00	1.050
43	Adrenal glands																10.44	22.63	2.82	63.11	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
44	Oesophagus wall																10.42	21.89	2.85	63.84	0.10	0.00	0.17	0.27	0.23	0.20	0.00	0.03	0.00	1.030
45	Generic soft tissue (several organs)										10.46	23.61	2.78	62.15	0.10	0.00	0.19	0.29	0.21	0.20	0.00	0.01	0.00	1.030
46	Uterus & cervix																10.55	28.68	2.52	57.42	0.10	0.00	0.19	0.20	0.13	0.20	0.00	0.01	0.00	1.030
47	Lymphatic nodes																10.49	24.89	2.73	60.89	0.10	0.00	0.20	0.30	0.20	0.20	0.00	0.00	0.00	1.030
48	Breast glandular tissue														11.41	46.28	0.45	41.72	0.01	0.00	0.01	0.03	0.04	0.03	0.00	0.01	0.00	1.020
49	Adipose tissue																11.38	58.92	0.75	28.64	0.10	0.00	0.10	0.10	0.01	0.00	0.00	0.00	0.00	0.960
50	Lungs tissue																10.25	10.73	3.19	74.71	0.15	0.00	0.15	0.25	0.30	0.20	0.00	0.05	0.00	0.386
51	Stomach contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
52	Small intestine contents													10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
53	Right colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
54	Left colon contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.760
55	Sigmoid colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.865
56	Urine																		10.70	0.30	1.00	87.30	0.40	0.00	0.10	0.00	0.00	0.20	0.00	0.00	0.00	1.010
57	Air inside the body															0.00	0.00	80.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.001
