Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
25	Tibiae, fibulae, and patellae, medullary cavity			                  	9.45	43.37	2.29	37.61	0.10	0.08	2.27	0.18	0.04	0.03	4.57	0.03	0.00	0.991
26	Cartilage												                  	9.62	9.93	2.23	74.40	0.49	0.00	2.14	0.88	0.30	0.01	0.00	0.00	0.00	1.100
27	Skin													                  	10.01	20.06	4.17	64.86	0.20	0.00	0.10	0.20	0.30	0.10	0.00	0.00	0.00	1.100
28	Blood vessels											                  	10.20	11.00	3.30	74.50	0.10	0.00	0.10	0.20	0.30	0.20	0.00	0.10	0.00	1.060
29	Oral mucosa												                  	10.20	14.24	3.40	71.06	0.10	0.00	0.20	0.30	0.10	0.40	0.00	0.00	0.00	1.030
30	Liver													                  	10.27	16.37	2.95	69.28	0.17	0.00	0.17	0.27	0.23	0.27	0.00	0.03	0.00	1.050
31	Pancreas												                  	10.51	15.64	2.43	70.49	0.18	0.00	0.18	0.12	0.22	0.20	0.00	0.02	0.00	1.030
32	Brain													                  	10.67	14.31	2.26	71.38	0.19	0.00	0.38	0.20	0.30	0.29	0.00	0.01	0.00	1.040
33	Heart wall												                  	10.37	13.43	2.97	72.24	0.10	0.00	0.18	0.20	0.22	0.28	0.00	0.02	0.00	1.040
34	Eye lens and bulb										                  	9.60	19.50	5.70	64.60	0.10	0.00	0.10	0.30	0.10	0.00	0.00	0.00	0.00	1.050
35	Kidney tissue											                  	10.27	12.50	3.10	73.07	0.17	0.00	0.17	0.20	0.23	0.20	0.07	0.03	0.00	1.040
36	Stomach wall											                  	10.50	11.37	2.48	74.95	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
37	Small intestine wall									                  	10.49	11.36	2.51	74.93	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
38	Colon wall and rectum									                  	10.49	11.36	2.51	74.93	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
39	Spleen													                  	10.25	11.16	3.25	74.29	0.10	0.00	0.21	0.20	0.25	0.25	0.00	0.05	0.00	1.060
40	Thyroid													                  	10.37	11.76	2.54	74.50	0.18	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.08	1.050
41	Urindary bladder wall									                  	10.49	9.63	2.61	76.07	0.20	0.00	0.20	0.20	0.30	0.30	0.00	0.00	0.00	1.040
42	Testes													                  	10.58	9.97	2.08	76.47	0.19	0.00	0.10	0.20	0.21	0.20	0.00	0.01	0.00	1.050
43	Adrenal glands											                  	10.44	22.63	2.82	63.11	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
44	Oesophagus wall											                    10.42	21.89	2.85	63.84	0.10	0.00	0.17	0.27	0.23	0.20	0.00	0.03	0.00	1.030
45	Generic soft tissue (several organs)					                    10.45	23.29	2.80	62.47	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
46	Prostate												                  	10.45	23.23	2.80	62.52	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
47	Lymphatic nodes											                  	10.49	24.89	2.73	60.89	0.10	0.00	0.20	0.30	0.20	0.20	0.00	0.00	0.00	1.030
48	Breast glandular tissue									                  	11.21	51.89	1.12	35.37	0.10	0.00	0.02	0.12	0.13	0.03	0.00	0.02	0.00	1.020
49	Adipose tissue											                  	11.38	58.92	0.75	28.64	0.10	0.00	0.10	0.10	0.01	0.00	0.00	0.00	0.00	0.960
50	Lungs tissue											                  	10.25	10.77	3.21	74.68	0.15	0.00	0.15	0.25	0.30	0.20	0.00	0.05	0.00	0.434
51	Stomach contents										             		10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
52	Small intestine contents								                    10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.566
53	Right colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
54	Left colon contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.490
55	Sigmoid colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
56	Urine													                  	10.70	0.30	1.00	87.30	0.40	0.00	0.10	0.00	0.00	0.20	0.00	0.00	0.00	1.010
57	Air inside the body										                  	0.00	0.00	80.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.001
