Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
38	Colon wall and rectum														10.51	11.38	2.46	74.96	0.10	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.00	1.030
39	Spleen																		10.26	11.18	3.24	74.26	0.10	0.00	0.22	0.20	0.24	0.26	0.00	0.04	0.00	1.060
40	Thyroid																		10.37	11.78	2.52	74.50	0.19	0.00	0.10	0.11	0.21	0.11	0.00	0.01	0.09	1.050
41	Urindary bladder wall														10.49	9.63	2.61	76.07	0.20	0.00	0.20	0.20	0.30	0.30	0.00	0.00	0.00	1.040
42	Ovaries																		10.48	24.59	2.74	61.19	0.10	0.00	0.19	0.29	0.21	0.20	0.00	0.01	0.00	1.050
43	Adrenal glands																10.45	23.05	2.80	62.70	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.020
44	Oesophagus wall																10.44	22.44	2.83	63.30	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
45	Generic soft tissue (several organs)										10.48	24.49	2.75	61.29	0.10	0.00	0.19	0.29	0.21	0.20	0.00	0.01	0.00	1.020
46	Uterus & cervix																10.57	29.94	2.47	56.20	0.10	0.00	0.19	0.20	0.12	0.20	0.00	0.01	0.00	1.030
47	Lymphatic nodes																10.49	24.97	2.73	60.82	0.10	0.00	0.20	0.30	0.20	0.20	0.00	0.00	0.00	1.020
48	Breast glandular tissue														11.49	48.79	0.25	39.39	0.01	0.00	0.01	0.02	0.02	0.02	0.00	0.01	0.00	1.020
49	Adipose tissue																11.38	58.98	0.74	28.58	0.10	0.00	0.10	0.10	0.01	0.00	0.00	0.00	0.00	0.940
50	Lungs tissue																10.25	10.77	3.21	74.68	0.15	0.00	0.15	0.25	0.30	0.20	0.00	0.05	0.00	0.305
51	Stomach contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.020
52	Small intestine contents													10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.455
53	Right colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.020
54	Left colon contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.980
55	Sigmoid colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.020
56	Urine																		10.70	0.30	1.00	87.30	0.40	0.00	0.10	0.00	0.00	0.20	0.00	0.00	0.00	1.010
57	Air inside the body															0.00	0.00	80.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.001
