                                                                                1     6     7     8    11    12    15    16    17    19    20    26    53
      Tissues to be used in the Monte Carlo simulation:                         H     C     N     O    Na    Mg     P     S    Cl     K    Ca    Fe     I
No.                                                                                                            (% by mass)							
36    Stomach                                                                 10.5  11.4   2.5  75.0   0.1   0.0   0.1   0.1   0.2   0.1   0.0   0.0   0.0
37    Small intestine                                                         10.5  11.3   2.6  75.0   0.1   0.0   0.1   0.1   0.2   0.1   0.0   0.0   0.0
38    Large intestine                                                         10.5  11.3   2.6  75.0   0.1   0.0   0.1   0.1   0.2   0.1   0.0   0.0   0.0
39    Spleen                                                                  10.2  11.1   3.3  74.3   0.1   0.0   0.2   0.2   0.3   0.2   0.0   0.1   0.0
40    Thyroid                                                                 10.4  11.7   2.6  74.5   0.2   0.0   0.1   0.1   0.2   0.1   0.0   0.0   0.1
41    Urinary bladder                                                         10.5   9.6   2.6  76.1   0.2   0.0   0.2   0.2   0.3   0.3   0.0   0.0   0.0
42    Testes                                                                  10.6  10.0   2.1  76.4   0.2   0.0   0.1   0.2   0.2   0.2   0.0   0.0   0.0
43    Adrenals                                                                10.4  22.1   2.8  63.7   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0
44    Oesophagus                                                              10.4  21.3   2.9  64.4   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0
45    Gallbladder, Pituitary gland, Trachea, Thymus, Tonsils, Ureters, ...    10.4  23.1   2.8  62.7   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0
46    Prostate                                                                10.4  23.1   2.8  62.7   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0
47    Lymph                                                                   10.8   4.2   1.1  83.1   0.3   0.0   0.0   0.1   0.4   0.0   0.0   0.0   0.0
48    Breast (mammary gland)                                                  11.2  51.6   1.1  35.8   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0
49    Adipose tissue                                                          11.4  58.8   0.8  28.7   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0
50    Lung tissue (compressed lungs)                                          10.3  10.7   3.2  74.6   0.2   0.0   0.2   0.3   0.3   0.2   0.0   0.0   0.0
51    Gastro-intestinal tract - contents                                      10.0  22.2   2.2  64.4   0.1   0.0   0.2   0.3   0.1   0.4   0.1   0.0   0.0
52    Urine                                                                   10.7   0.3   1.0  87.3   0.4   0.0   0.1   0.0   0.0   0.2   0.0   0.0   0.0
53    Air                                                                      0.0   0.0  80.0  20.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0						
